random
Trust,,,,,Source,,,,,Bias,,,,,
,mlm,mlm_cos,mlm_supercon,,,mlm,mlm_cos,mlm_supercon,,,mlm,mlm_cos,mlm_supercon
no_augmentation,5.15,0,0,,no_augmentation,5.225,0,0,,no_augmentation,0.205,0,0
duplicate,5.305,0,0,,duplicate,5.395,0,0,,duplicate,0.28500000000000003,0,0
sentence_order_replacement,5.0,4.9350000000000005,4.91,,sentence_order_replacement,5.07,5.005,4.975,,sentence_order_replacement,0.315,0.305,0.3
span_cutoff,4.4399999999999995,4.87,4.915,,span_cutoff,4.51,4.9350000000000005,4.98,,span_cutoff,0.315,0.315,0.285
word_order_replacement,4.98,4.87,4.824999999999999,,word_order_replacement,5.085,4.9350000000000005,4.89,,word_order_replacement,0.27999999999999997,0.315,0.325
word_replacement,4.08,3.6799999999999997,4.890000000000001,,word_replacement,4.195,3.71,4.96,,word_replacement,0.29500000000000004,0.3,0.32
sentence_replacement,4.745,4.88,4.92,,sentence_replacement,4.83,4.945,4.984999999999999,,sentence_replacement,0.31,0.305,0.295


bert
Trust,,,,,Source,,,,,Bias,,,,,
,mlm,mlm_cos,mlm_supercon,,,mlm,mlm_cos,mlm_supercon,,,mlm,mlm_cos,mlm_supercon
no_augmentation,5.105,0,0,,no_augmentation,5.175000000000001,0,0,,no_augmentation,0.225,0,0
duplicate,4.27,0,0,,duplicate,4.34,0,0,,duplicate,0.28,0,0
sentence_order_replacement,5.095000000000001,3.8,3.775,,sentence_order_replacement,5.17,3.835,3.8099999999999996,,sentence_order_replacement,0.265,0.285,0.3
span_cutoff,5.715,5.5649999999999995,3.775,,span_cutoff,5.82,5.630000000000001,3.8099999999999996,,span_cutoff,0.29000000000000004,0.275,0.28500000000000003
word_order_replacement,5.300000000000001,5.755,5.5649999999999995,,word_order_replacement,5.375,5.83,5.630000000000001,,word_order_replacement,0.215,0.25,0.25
word_replacement,4.9,4.715,5.535,,word_replacement,4.975,4.8100000000000005,5.645,,word_replacement,0.27,0.305,0.27
sentence_replacement,3.94,3.725,4.865,,sentence_replacement,3.985,3.76,4.9350000000000005,,sentence_replacement,0.28500000000000003,0.29000000000000004,0.275


bigram_inner
Trust,,,,,Source,,,,,Bias,,,,,
,mlm,mlm_cos,mlm_supercon,,,mlm,mlm_cos,mlm_supercon,,,mlm,mlm_cos,mlm_supercon
no_augmentation,5.055,0,0,,no_augmentation,5.11,0,0,,no_augmentation,0.25,0,0
duplicate,4.43,0,0,,duplicate,4.49,0,0,,duplicate,0.29000000000000004,0,0
sentence_order_replacement,5.734999999999999,4.925,4.9,,sentence_order_replacement,5.835,4.994999999999999,4.97,,sentence_order_replacement,0.295,0.31,0.31
span_cutoff,4.755,5.535,4.885,,span_cutoff,4.8149999999999995,5.65,4.95,,span_cutoff,0.325,0.285,0.3
word_order_replacement,4.955,4.734999999999999,5.235,,word_order_replacement,5.0600000000000005,4.8,5.345000000000001,,word_order_replacement,0.25,0.315,0.295
word_replacement,4.665,4.6850000000000005,5.0,,word_replacement,4.734999999999999,4.76,5.08,,word_replacement,0.32,0.305,0.31
sentence_replacement,3.9350000000000005,4.68,5.285,,sentence_replacement,3.99,4.795,5.395,,sentence_replacement,0.33499999999999996,0.305,0.33


trigram_inner
Trust,,,,,Source,,,,,Bias,,,,,
,mlm,mlm_cos,mlm_supercon,,,mlm,mlm_cos,mlm_supercon,,,mlm,mlm_cos,mlm_supercon
no_augmentation,5.41,0,0,,no_augmentation,5.54,0,0,,no_augmentation,0.215,0,0
duplicate,4.015,0,0,,duplicate,4.085,0,0,,duplicate,0.19,0,0
sentence_order_replacement,5.130000000000001,4.57,4.245,,sentence_order_replacement,5.195,4.635,4.3100000000000005,,sentence_order_replacement,0.215,0.225,0.23
span_cutoff,4.5,4.4,3.865,,span_cutoff,4.56,4.465,3.9349999999999996,,span_cutoff,0.245,0.23,0.22
word_order_replacement,4.890000000000001,4.9,5.3149999999999995,,word_order_replacement,4.955,4.975,5.375,,word_order_replacement,0.17,0.24,0.23500000000000001
word_replacement,5.04,4.26,4.0200000000000005,,word_replacement,5.105,4.32,4.085,,word_replacement,0.25,0.24,0.24
sentence_replacement,4.845,3.99,4.455,,sentence_replacement,4.93,4.06,4.525,,sentence_replacement,0.255,0.235,0.255


bigram_outer
Trust,,,,,Source,,,,,Bias,,,,,
,mlm,mlm_cos,mlm_supercon,,,mlm,mlm_cos,mlm_supercon,,,mlm,mlm_cos,mlm_supercon
no_augmentation,5.215,0,0,,no_augmentation,5.36,0,0,,no_augmentation,0.215,0,0
duplicate,5.21,0,0,,duplicate,5.295,0,0,,duplicate,0.38,0,0
sentence_order_replacement,3.62,5.125,4.275,,sentence_order_replacement,3.69,5.3,4.34,,sentence_order_replacement,0.355,0.36,0.37
span_cutoff,4.74,3.755,4.19,,span_cutoff,4.755000000000001,3.8200000000000003,4.2299999999999995,,span_cutoff,0.325,0.335,0.32499999999999996
word_order_replacement,4.91,4.195,4.705,,word_order_replacement,5.015,4.275,4.765000000000001,,word_order_replacement,0.29000000000000004,0.32,0.29
word_replacement,4.865,4.365,3.695,,word_replacement,4.835,4.405,3.815,,word_replacement,0.35,0.33999999999999997,0.33
sentence_replacement,3.285,3.5949999999999998,3.24,,sentence_replacement,3.385,3.615,3.285,,sentence_replacement,0.36,0.345,0.325


